20230101T000000.100000,6,0,7830.46,-7660.87,-356.039,0,0,0,94038.7,95847.8,4459.23,98236.3,-4362.65,192008,4.63513e+16
20230101T000000.100000,6,1,2160.55,-3096.82,-282.088,0,0,0,15407,10615.7,972.422,7597.18,-1393.82,22813.6,2.85495e+17
20230101T000000.100000,6,2,1180.58,-1581.5,146.058,0,0,0,4036.84,2940.46,-273.075,2292.81,365.812,6232.21,2.98562e+17
20230101T000000.100000,6,3,9558.74,-7528.7,-863.391,0,0,0,91465.4,114533,13201.1,146672,-10397.5,236882,4.16833e+16
20230101T000000.100000,6,4,5749.14,-6485.15,-1044.41,0,0,0,68087.2,58756.7,9602.06,53896.7,-10831.3,120176,9.54613e+16
20230101T000000.100000,6,5,4515.92,-3062.66,-941.64,0,0,0,16022.1,21441.2,6794.92,33096.2,-4608.25,47639.3,4.37714e+17
20230101T000000.100000,6,6,10937.9,-5298.75,-1039.85,0,0,0,46375.5,92028,18193.2,191762,-8813.5,236344,4.22122e+16
20230101T000000.100000,6,7,2041.84,415.664,31.8091,0,0,0,339.435,-1345.13,-102.962,6673.22,-20.9602,6947.06,8.68885e+17
20230101T000000.100000,6,8,7644.57,-81.8783,-379.28,0,0,0,304.701,998.331,4635.92,93503.2,-49.6537,93514.1,7.96151e+16
20230101T000000.100000,6,9,2895.65,1507.09,523.356,0,0,0,4028.05,-6777.39,-2415.85,13522.4,-1257.37,17051.4,3.80338e+16
20230101T000000.100000,6,10,187.587,225.285,-63.2084,0,0,0,108.864,-34.4009,10.5338,96.1938,12.6507,140.351,3.14911e+26
20230101T000000.100000,3,0,7830.46,-7660.87,-356.039,0,0,0,2500,0,0,2500,0,2500,0
20230101T000000.100000,3,1,2160.55,-3096.82,-282.088,0,0,0,2500,0,0,2500,0,2500,0
20230101T000000.100000,3,2,1180.58,-1581.5,146.058,0,0,0,2500,0,0,2500,0,2500,0
20230101T000000.100000,3,3,9558.74,-7528.7,-863.391,0,0,0,2500,0,0,2500,0,2500,0
20230101T000000.100000,3,4,5749.14,-6485.15,-1044.41,0,0,0,2500,0,0,2500,0,2500,0
20230101T000000.100000,3,5,4515.92,-3062.66,-941.64,0,0,0,2500,0,0,2500,0,2500,0
20230101T000000.100000,3,6,10937.9,-5298.75,-1039.85,0,0,0,2500,0,0,2500,0,2500,0
20230101T000000.100000,3,7,2041.84,415.664,31.8091,0,0,0,2500,0,0,2500,0,2500,0
20230101T000000.100000,3,8,7644.57,-81.8783,-379.28,0,0,0,2500,0,0,2500,0,2500,0
20230101T000000.100000,3,9,2895.65,1507.09,523.356,0,0,0,2500,0,0,2500,0,2500,0
20230101T000000.100000,3,10,187.587,225.285,-63.2084,0,0,0,2500,0,0,2500,0,2500,0
20230101T000000.200000,6,11,878.394,-854.084,97.3405,0,0,0,1207.62,1160.99,-133.182,1272.8,129.497,2402.06,1.48184e+17
20230101T000000.200000,6,12,2909.26,-1655.91,616.597,0,0,0,4893.45,7419.82,-2860.24,13706.1,1628,17931.4,6.05828e+17
20230101T000000.200000,6,13,10757,-5135.84,775.23,0,0,0,43038,87995.7,-13338.9,185332,6368.55,227345,2.15299e+17
20230101T000000.200000,6,14,10480.3,-242.463,-1789.5,0,0,0,5277.19,3945.82,29996.7,175742,-693.975,175835,6.97437e+16
20230101T000000.200000,6,15,4549.86,119.584,1198.78,0,0,0,2380.41,-808.581,-8711.07,33123.6,-228.953,33149,1.01048e+17
20230101T000000.200000,6,16,1401.21,594.96,29.1462,0,0,0,621.719,-1310.35,-64.2163,3151.38,-27.2666,3707.79,3.76605e+17
20230101T000000.200000,6,17,5000.08,3122.1,-1467.45,0,0,0,18118.3,-23402.2,11727,40984.6,7322.47,55601,4.48143e+16
