20230101T000000.100000,6,0,187.674,225.205,-63.2406,0,0,0,108.834,-34.4014,10.5441,96.2213,12.6527,140.348
20230101T000000.100000,3,0,187.674,225.205,-63.2406,0,0,0,2500,0,0,2500,0,2500
20230101T000000.200000,6,1,207.738,206.913,-62.793,0,0,0,102.386,-35.0231,11.5859,102.665,11.5399,140.355
20230101T000000.200000,4,0,207.49,208.752,-62.8169,1.96197,-1.62909,0.0419533,103.882,-31.8222,9.72899,92.2152,11.6746,132.864
20230101T000000.300000,6,2,225.355,187.653,-62.7271,0,0,0,96.1999,-34.4716,12.5577,108.893,10.4568,140.397
20230101T000000.300000,4,0,217.707,198.032,-62.8109,17.2531,-20.5797,0.490053,57.4952,-17.3356,5.54501,55.067,5.95689,75.1086
20230101T000000.400000,6,3,242.324,167.336,-56.4126,0,0,0,90.0512,-33.6325,12.1409,115.53,8.38385,141.021
20230101T000000.400000,6,4,240.966,167.304,-62.0341,0,0,0,90.2741,-32.9199,13.2758,114.832,9.21745,140.428
20230101T000000.400000,4,0,230.321,183.33,-62.4503,47.0828,-58.5569,1.86699,49.6983,-13.7921,4.6728,51.4282,4.39789,65.4086
20230101T000000.400000,3,1,242.324,167.336,-56.4126,0,0,0,2500,0,0,2500,0,2500
20230101T000000.500000,6,5,253.768,146.618,-63.5071,0,0,0,85.0638,-30.2565,14.3163,119.951,8.27141,140.302
20230101T000000.500000,4,1,254.056,148.148,-63.1402,1.16161,-1.89984,-0.666102,86.4983,-31.0948,11.2025,110.055,7.73589,133.486
20230101T000000.600000,6,6,265.468,124.367,-62.9357,0,0,0,80.1135,-26.8865,14.838,124.909,6.9513,140.324
20230101T000000.600000,4,1,260.887,135.716,-63.0847,10.7598,-22.9621,-0.128915,48.5573,-15.7394,6.67811,64.0842,4.11396,75.1711
20230101T000000.700000,6,7,275.841,99.5033,-62.7129,0,0,0,75.5637,-22.372,15.3661,129.513,5.54296,140.382
20230101T000000.700000,4,1,269.499,118.094,-62.9424,30.6783,-68.0106,0.730906,42.971,-11.5508,5.63754,58.14,3.03373,65.3612
20230101T000000.800000,6,8,283.377,75.2044,-62.7595,0,0,0,72.1059,-17.3635,15.794,132.925,4.19152,140.337
