20230101T000000.100000,6,0,2396.42,-2335.3,242.804,0,0,0,8806.86,8875.24,-927.669,9265.51,904.009,17914.7,2.01566e+11
20230101T000000.100000,6,1,2562.68,-3431.5,-58.2273,0,0,0,18865.2,14036.9,238.228,10552.3,-318.994,29348.1,1.34495e+11
20230101T000000.100000,6,2,2382.68,-815.043,-175.462,0,0,0,1163.99,3072.58,664.713,9095.26,-227.379,10146.6,2.45379e+11
20230101T000000.100000,6,3,4351.66,-1960.82,379.437,0,0,0,6396.05,13542.4,-2637.28,30348.7,1188.34,36451.2,1.41207e+11
20230101T000000.100000,6,4,10227.2,-76.12,-578.636,0,0,0,608.745,1241.14,9464.96,167355,-70.4464,167364,2.47199e+11
20230101T000000.100000,6,5,8015.25,-253.486,1098.41,0,0,0,2094.06,3187.83,-14077.9,102793,445.22,102895,1.62057e+11
20230101T000000.100000,6,6,187.68,225.214,-63.2371,0,0,0,108.84,-34.4063,10.5444,96.2252,12.6531,140.358,6.68088e+26
20230101T000000.100000,3,0,2396.42,-2335.3,242.804,0,0,0,2500,0,0,2500,0,2500,0
20230101T000000.100000,3,1,2562.68,-3431.5,-58.2273,0,0,0,2500,0,0,2500,0,2500,0
20230101T000000.100000,3,2,2382.68,-815.043,-175.462,0,0,0,2500,0,0,2500,0,2500,0
20230101T000000.100000,3,3,4351.66,-1960.82,379.437,0,0,0,2500,0,0,2500,0,2500,0
20230101T000000.100000,3,4,10227.2,-76.12,-578.636,0,0,0,2500,0,0,2500,0,2500,0
20230101T000000.100000,3,5,8015.25,-253.486,1098.41,0,0,0,2500,0,0,2500,0,2500,0
20230101T000000.100000,3,6,187.68,225.214,-63.2371,0,0,0,2500,0,0,2500,0,2500,0
20230101T000000.200000,6,7,2868.67,-2379.53,712.63,0,0,0,9577.37,10492.1,-3261.79,13523.2,2705.62,22228.5,1.9231e+11
20230101T000000.200000,6,8,6952.42,-1317.03,-483.47,0,0,0,3197.85,14570.4,5373.78,77352.9,-1017.98,80113.4,5.94056e+11
20230101T000000.200000,6,9,7583.44,-1017.37,215.685,0,0,0,1791.99,12326,-2615.23,92016.1,350.851,93669.7,1.36231e+11
20230101T000000.200000,6,10,7172.11,-769.97,140.5,0,0,0,1043.04,8825.56,-1611.05,82303.8,172.956,83251.3,1.09035e+11
20230101T000000.200000,6,11,225.348,187.679,-62.7084,0,0,0,96.2091,-34.479,12.5541,108.893,10.4556,140.407,5.818e+25
20230101T000000.200000,6,12,5203.5,3051.15,-1054.34,0,0,0,16265,-24599.5,8768.65,43793.3,5141.63,58219.5,7.57193e+11
