20230101T000000.100000,1,1,188.6223474588919,224.7913602276878,-62.3735072453278,0,0,0
20230101T000000.100000,0,0,0,0,0,0,0,0
20230101T000000.200000,1,1,224.7913602276878,188.6223474588919,-62.3735072453278,0,0,0
20230101T000000.200000,0,0,0,0,0,0,0,0
20230101T000000.300000,1,1,254.1302012658822,146.7221401100709,-62.3735072453278,0,0,0
20230101T000000.300000,0,0,0,0,0,0,0,0
20230101T000000.400000,1,1,275.7474247346995,100.3638547789906,-62.3735072453278,0,0,0
20230101T000000.400000,0,0,0,0,0,0,0,0
20230101T000000.500000,1,1,288.9862022378825,50.95606450701168,-62.3735072453278,0,0,0
20230101T000000.500000,0,0,0,0,0,0,0,0
20230101T000000.600000,1,1,293.4442802201417,1.796827992498478e-14,-62.3735072453278,0,0,0
20230101T000000.600000,0,0,0,0,0,0,0,0
20230101T000000.700000,1,1,288.9862022378825,-50.95606450701165,-62.3735072453278,0,0,0
20230101T000000.700000,0,0,0,0,0,0,0,0
20230101T000000.800000,1,1,275.7474247346995,-100.3638547789906,-62.3735072453278,0,0,0
20230101T000000.800000,0,0,0,0,0,0,0,0
20230101T000000.900000,1,1,254.1302012658822,-146.7221401100708,-62.3735072453278,0,0,0
20230101T000000.900000,0,0,0,0,0,0,0,0
20230101T000001,1,1,224.7913602276878,-188.6223474588919,-62.3735072453278,0,0,0
20230101T000001,0,0,0,0,0,0,0,0
20230101T000001.100000,1,1,192.7188122526775,229.6733368626174,-10.46984901075029,0,0,0
20230101T000001.100000,0,0,0,0,0,0,0,0
20230101T000001.200000,1,1,229.6733368626174,192.7188122526775,-10.46984901075029,0,0,0
20230101T000001.200000,0,0,0,0,0,0,0,0
20230101T000001.300000,1,1,259.6493533523029,149.9086240528644,-10.46984901075029,0,0,0
20230101T000001.300000,0,0,0,0,0,0,0,0
20230101T000001.400000,1,1,281.7360556292911,102.5435381686289,-10.46984901075029,0,0,0
20230101T000001.400000,0,0,0,0,0,0,0,0
20230101T000001.500000,1,1,295.2623504213064,52.06271876667373,-10.46984901075029,0,0,0
20230101T000001.500000,0,0,0,0,0,0,0,0
20230101T000001.600000,1,1,299.8172481057287,1.835851166109242e-14,-10.46984901075029,0,0,0
20230101T000001.600000,0,0,0,0,0,0,0,0
20230101T000001.700000,1,1,295.2623504213064,-52.0627187666737,-10.46984901075029,0,0,0
20230101T000001.700000,0,0,0,0,0,0,0,0
20230101T000001.800000,1,1,281.7360556292912,-102.5435381686289,-10.46984901075029,0,0,0
20230101T000001.800000,0,0,0,0,0,0,0,0
20230101T000001.900000,1,1,259.649353352303,-149.9086240528643,-10.46984901075029,0,0,0
20230101T000001.900000,0,0,0,0,0,0,0,0
20230101T000002,1,1,229.6733368626174,-192.7188122526775,-10.46984901075029,0,0,0
20230101T000002,0,0,0,0,0,0,0,0
20230101T000002.100000,1,1,190.9596134565898,227.5768053772926,41.75193028801963,0,0,0
20230101T000002.100000,0,0,0,0,0,0,0,0
20230101T000002.200000,1,1,227.5768053772926,190.9596134565899,41.75193028801963,0,0,0
20230101T000002.200000,0,0,0,0,0,0,0,0
20230101T000002.300000,1,1,257.2791912260264,148.5402103112356,41.75193028801963,0,0,0
20230101T000002.300000,0,0,0,0,0,0,0,0
20230101T000002.400000,1,1,279.1642790389099,101.6074880405475,41.75193028801963,0,0,0
20230101T000002.400000,0,0,0,0,0,0,0,0
20230101T000002.500000,1,1,292.5671014971373,51.58747366161727,41.75193028801963,0,0,0
20230101T000002.500000,0,0,0,0,0,0,0,0
20230101T000002.600000,1,1,297.0804206224711,1.819092931023293e-14,41.75193028801963,0,0,0
20230101T000002.600000,0,0,0,0,0,0,0,0
20230101T000002.700000,1,1,292.5671014971373,-51.58747366161725,41.75193028801963,0,0,0
20230101T000002.700000,0,0,0,0,0,0,0,0
20230101T000002.800000,1,1,279.1642790389099,-101.6074880405475,41.75193028801963,0,0,0
20230101T000002.800000,0,0,0,0,0,0,0,0
20230101T000002.900000,1,1,257.2791912260264,-148.5402103112355,41.75193028801963,0,0,0
20230101T000002.900000,0,0,0,0,0,0,0,0
20230101T000003,1,1,227.5768053772926,-190.9596134565899,41.75193028801963,0,0,0
20230101T000003,0,0,0,0,0,0,0,0
20230101T000003.100000,1,1,314.3705790981531,374.6522670461463,-103.9558454088797,0,0,0
20230101T000003.100000,0,0,0,0,0,0,0,0
20230101T000003.200000,1,1,374.6522670461463,314.3705790981532,-103.9558454088797,0,0,0
20230101T000003.200000,0,0,0,0,0,0,0,0
20230101T000003.300000,1,1,423.5503354431369,244.5369001834515,-103.9558454088797,0,0,0
20230101T000003.300000,0,0,0,0,0,0,0,0
20230101T000003.400000,1,1,459.5790412244991,167.2730912983177,-103.9558454088797,0,0,0
20230101T000003.400000,0,0,0,0,0,0,0,0
20230101T000003.500000,1,1,481.6436703964708,84.9267741783528,-103.9558454088797,0,0,0
20230101T000003.500000,0,0,0,0,0,0,0,0
20230101T000003.600000,1,1,489.0738003669028,2.994713320830796e-14,-103.9558454088797,0,0,0
20230101T000003.600000,0,0,0,0,0,0,0,0
20230101T000003.700000,1,1,481.6436703964708,-84.92677417835274,-103.9558454088797,0,0,0
20230101T000003.700000,0,0,0,0,0,0,0,0
20230101T000003.800000,1,1,459.5790412244991,-167.2730912983176,-103.9558454088797,0,0,0
20230101T000003.800000,0,0,0,0,0,0,0,0
20230101T000003.900000,1,1,423.550335443137,-244.5369001834513,-103.9558454088797,0,0,0
20230101T000003.900000,0,0,0,0,0,0,0,0
20230101T000004,1,1,374.6522670461463,-314.3705790981532,-103.9558454088797,0,0,0
