20230101T000000.100000,6,0,2881.64,-2171.53,228.952,0,0,0,7638.98,9941.12,-1052.38,13339.6,793.047,20831.2,1.01772e+19
20230101T000000.100000,6,1,2006.83,-1907.26,-15.5677,0,0,0,5854.07,6091.92,49.7258,6474.32,-47.2588,12264,7.90221e+18
20230101T000000.100000,6,2,1790.59,-1435.26,-83.0904,0,0,0,3341.6,4075.37,236.244,5159.29,-189.363,8426.01,8.09877e+18
20230101T000000.100000,6,3,2687.65,-3580.63,775.681,0,0,0,20882.7,14905.5,-3329.15,12213.1,4435.27,32072.8,1.45324e+19
20230101T000000.100000,6,4,2883.75,-2420.78,-199.363,0,0,0,9451.06,11106.8,917.272,13358.3,-770.009,22682.2,4.15669e+19
20230101T000000.100000,6,5,7290.73,-9003.59,-1172.38,0,0,0,130600,103922,13672,86414.1,-16884.1,214752,7.59645e+18
20230101T000000.100000,6,6,8871.34,-7319.6,2562.28,0,0,0,92008.7,98709,-36359,130200,29999.2,211647,4.04111e+19
20230101T000000.100000,6,7,7316.24,-7074.03,-837.742,0,0,0,80680.1,82215.5,9802.83,86216.9,-9478.3,165711,9.38204e+18
20230101T000000.100000,6,8,522.411,-531.996,-56.6775,0,0,0,486.592,410.292,43.9852,471.672,-44.7923,889.86,8.71089e+19
20230101T000000.100000,6,9,4372.43,-3416.55,225.069,0,0,0,18766.5,23831.5,-1572.51,30644,1228.74,49265.6,6.51599e+18
20230101T000000.100000,6,10,4828.66,-6789.3,2026.06,0,0,0,75978,49322.6,-15644.6,41707.3,21996.9,111061,2.84007e+19
20230101T000000.100000,6,11,3645.57,-3549.61,113.392,0,0,0,20202.9,20662.3,-660.385,21305.4,643.001,41423.8,1.99474e+19
20230101T000000.100000,6,12,4308.64,-5993.99,216.387,0,0,0,57532,41255.7,-1490.64,29794.6,2073.71,87187.8,3.81274e+19
20230101T000000.100000,6,13,4737.25,-4654.26,-1462.66,0,0,0,36432.2,33535.7,11076.8,37617.7,-10882.7,70568.8,4.01184e+19
