20230101T000000.100000,6,0,762.147,-752.227,162.679,0,0,0,958.49,864.846,-191.613,981.15,189.119,1836.18,2.99423e+11
20230101T000000.100000,6,1,2573.47,-2511.31,286.383,0,0,0,10190.5,10243.1,-1175.57,10691.4,1147.18,20687.5,2.72274e+11
20230101T000000.100000,6,2,2715.76,-3317.05,-167.207,0,0,0,17648.1,14360,724.971,11865.6,-885.485,29405.2,1.78051e+11
20230101T000000.100000,6,3,1410.65,-1280.4,-37.7862,0,0,0,2659.42,2856.94,84.3451,3213.8,-76.5577,5806.99,4.82248e+10
20230101T000000.100000,6,4,7754,-7717.16,310.138,0,0,0,95396.7,95633.2,-3846.41,96307.5,3828.14,191486,3.42566e+10
20230101T000000.100000,6,5,9234.79,-6165.74,-1616.86,0,0,0,63762.7,89142.3,23882.5,137759,-15945.5,197278,3.44782e+10
20230101T000000.100000,6,6,7103.35,-6769.31,2450.27,0,0,0,78383.4,72108,-27837.3,85332.6,26528.2,154053,5.08833e+10
20230101T000000.100000,6,7,5868.97,-3835.53,-337.482,0,0,0,23710.5,35904.3,3166.5,55185.4,-2069.39,78650,4.51796e+10
20230101T000000.100000,6,8,3816.49,-4802.17,-526.968,0,0,0,37094,29076.5,3214.48,23616.2,-4044.68,60202.8,7.17522e+11
20230101T000000.100000,6,9,5793.37,-7752.36,-743.642,0,0,0,96498.3,71404.8,6890.18,54309.5,-9220.05,149860,5.5004e+10
20230101T000000.100000,6,10,3983.81,-2675.97,-215.251,0,0,0,11552.4,16993,1369.65,25436.1,-920.012,36850.6,3.91734e+11
20230101T000000.100000,6,11,1178.2,-617.797,116.573,0,0,0,677.546,1129.56,-214.827,2239.45,112.645,2832.23,6.11201e+10
20230101T000000.100000,6,12,1394.75,-329.58,5.30863,0,0,0,234.454,721.155,-11.616,3115.9,2.74487,3286.31,4.54369e+10
20230101T000000.100000,6,13,1909.15,-550.08,34.8971,0,0,0,545.016,1662.76,-105.518,5836.82,30.4028,6315.93,3.75451e+11
20230101T000000.100000,6,14,2439.69,-613.846,-92.5643,0,0,0,675.891,2377.78,359.045,9527.97,-90.3385,10126.3,2.2725e+11
20230101T000000.100000,6,15,3540.71,-2028.98,235.223,0,0,0,6701.45,11428.7,-1329.38,20096.3,761.791,26645.6,3.72301e+11
20230101T000000.100000,6,16,10924.7,-2621.63,-2436.28,0,0,0,20034.2,43656.3,42572.2,191480,-10216.2,201959,6.46546e+11
20230101T000000.100000,6,17,9105.31,-5523.09,-1037.58,0,0,0,50112.8,79671.2,15110.7,133131,-9165.82,181458,3.7732e+10
